layer385: 0.9965165838  beta: 0.030116523339113646
layer386: 0.9965316419  beta: 0.03047373244699985
layer387: 0.9965470261  beta: 0.030792180631556917
layer388: 0.9965626996  beta: 0.031057809155032878
layer389: 0.9965786105  beta: 0.03125610534657661
layer390: 0.9965946917  beta: 0.03137308720382046
layer391: 0.9966108618  beta: 0.031396472124835886
layer392: 0.9966270267  beta: 0.031316874203118995
layer393: 0.9966430843  beta: 0.031128847879488865
layer394: 0.9966589287  beta: 0.03083160388897481
layer395: 0.9966744561  beta: 0.03042926950815899
layer396: 0.9966895705  beta: 0.029930641403806364
layer397: 0.9967041885  beta: 0.02934846828015572
layer398: 0.9967182431  beta: 0.02869837979767953
layer399: 0.9967316858  beta: 0.02799762880536274
layer400: 0.9967444868  beta: 0.02726382635285018
layer401: 0.9967566348  beta: 0.02651382567517664
layer402: 0.9967681339  beta: 0.025762864038102407
layer403: 0.9967790016  beta: 0.025024015249803723
layer404: 0.9967892655  beta: 0.024307954046689305
layer405: 0.9967989605  beta: 0.023622994452407196
layer406: 0.9968081260  beta: 0.0229753399467552
layer407: 0.9968168041  beta: 0.022369472208941192
layer408: 0.9968250381  beta: 0.021808603949943904
layer409: 0.9968328713  beta: 0.0212951267190025
layer410: 0.9968403464  beta: 0.02083099445735733
layer411: 0.9968475054  beta: 0.02041799697803523
layer412: 0.9968543895  beta: 0.02005789397178661
layer413: 0.9968610390  beta: 0.019752398820039742
layer414: 0.9968674938  beta: 0.019503020947337524
layer415: 0.9968737929  beta: 0.01931079349240682
layer416: 0.9968799744  beta: 0.019175927399679802
layer417: 0.9968860757  beta: 0.019097441916598068
layer418: 0.9968921322  beta: 0.019072824346200657
layer419: 0.9968981771  beta: 0.019097769309461263
layer420: 0.9969042407  beta: 0.01916604088703259
layer421: 0.9969103490  beta: 0.01926949085336229
layer422: 0.9969165229  beta: 0.019398253117414527
layer423: 0.9969227772  beta: 0.019541118125991665
layer424: 0.9969291198  beta: 0.019686071079834645
layer425: 0.9969355510  beta: 0.019820955127518962
layer426: 0.9969420636  beta: 0.01993419790480168
layer427: 0.9969486426  beta: 0.020015521528286305
layer428: 0.9969552667  beta: 0.020056548055061116
layer429: 0.9969619094  beta: 0.0200512191218424
layer430: 0.9969685400  beta: 0.019995971443546562
layer431: 0.9969751265  beta: 0.019889646015048383
layer432: 0.9969816360  beta: 0.019733150947135934
layer433: 0.9969880375  beta: 0.019528936514160825
layer434: 0.9969943018  beta: 0.019280367808361593
layer435: 0.9970004031  beta: 0.01899109060254762
layer436: 0.9970063184  beta: 0.018664479491532653
layer437: 0.9970120279  beta: 0.018303237835692834
layer438: 0.9970175146  beta: 0.017909192045787982
layer439: 0.9970227635  beta: 0.017483293684616007
layer440: 0.9970277614  beta: 0.017025815586782997
layer441: 0.9970324966  beta: 0.016536704923723194
layer442: 0.9970369591  beta: 0.016016038059773464
layer443: 0.9970411404  beta: 0.015464510183034397
layer444: 0.9970450343  beta: 0.014883888400251698
layer445: 0.9970486373  beta: 0.01427736173310212
layer446: 0.9970519493  beta: 0.013649736018118069
layer447: 0.9970549737  beta: 0.01300744511950393
layer448: 0.9970577182  beta: 0.012358378742803752
layer449: 0.9970601945  beta: 0.01171155601280642
layer450: 0.9970624180  beta: 0.01107669662987304
layer451: 0.9970644074  beta: 0.01046375285443267
layer452: 0.9970661837  beta: 0.009882463762407673
layer453: 0.9970677699  beta: 0.00934197976674982
layer454: 0.9970691895  beta: 0.008850584838001514
layer455: 0.9970704665  beta: 0.00841552193265364
layer456: 0.9970716242  beta: 0.008042908950823123
layer457: 0.9970726852  beta: 0.007737721229602021
layer458: 0.9970736710  beta: 0.007503812910419079
layer459: 0.9970746021  beta: 0.007343952306057201
layer460: 0.9970754981  beta: 0.007259853281967218
layer461: 0.9970763779  beta: 0.00725219298687583
layer462: 0.9970772599  beta: 0.007320613701030449
layer463: 0.9970781627  beta: 0.007463711581238687
layer464: 0.9970791047  beta: 0.007679017124693267
layer465: 0.9970801051  beta: 0.007962971691322016
layer466: 0.9970811835  beta: 0.008310902636978243
layer467: 0.9970823601  beta: 0.008716998109087413
layer468: 0.9970836555  beta: 0.00917428278164058
layer469: 0.9970850903  beta: 0.009674598537513266
layer470: 0.9970866848  beta: 0.010208599131539431
layer471: 0.9970884577  beta: 0.010765773938932879
layer472: 0.9970904255  beta: 0.011334520985384424
layer473: 0.9970926015  beta: 0.0119022912673936
layer474: 0.9970949943  beta: 0.01245582295835334
layer475: 0.9970976068  beta: 0.012981474498509778
layer476: 0.9971004351  beta: 0.013465650320679637
layer477: 0.9971034678  beta: 0.013895294338551651
layer478: 0.9971066858  beta: 0.014258408144663153
layer479: 0.9971100623  beta: 0.01454453780259805
layer480: 0.9971135633  beta: 0.014745169501756448
layer481: 0.9971171491  beta: 0.01485398275408659
layer482: 0.9971207756  beta: 0.014866929941546873
layer483: 0.9971243963  beta: 0.014782139313297133
layer484: 0.9971279639  beta: 0.014599668897536482
layer485: 0.9971314323  beta: 0.014321164278947366
layer486: 0.9971347583  beta: 0.013949487984683366
layer487: 0.9971379026  beta: 0.013488389247547096
layer488: 0.9971408314  beta: 0.012942270470510504
layer489: 0.9971435168  beta: 0.012316084024503432
layer490: 0.9971459376  beta: 0.01161536507301451
layer491: 0.9971480800  beta: 0.010846378411097247
layer492: 0.9971499376  beta: 0.010016334751798642
layer493: 0.9971515115  beta: 0.009133618199921034
layer494: 0.9971528106  beta: 0.008207963945604396
layer495: 0.9971538506  beta: 0.007250533766675082
layer496: 0.9971546537  beta: 0.006273855022405959
layer497: 0.9971552475  beta: 0.0052916128209854274
layer498: 0.9971556632  beta: 0.004318309976094764
layer499: 0.9971559341  beta: 0.0033688299960854184
layer500: 0.9971560940  beta: 0.00245795051981308
